gyro_1_x,gyro_1_y,gyro_1_z,accel_1_x,accel_1_y,accel_1_z,magnet_1_x,magnet_1_y,magnet_1_z,gyro_2_x,gyro_2_y,gyro_2_z,accel_2_x,accel_2_y,accel_2_z,magnet_2_x,magnet_2_y,magnet_2_z,gyro_3_x,gyro_3_y,gyro_3_z,accel_3_x,accel_3_y,accel_3_z,magnet_3_x,magnet_3_y,magnet_3_z
-621,-5618,-1379,10372,12,12212,0,0,0,4951,-5872,-1173,10992,-316,12040,0,0,0,0,0,0,0,0,0,0,0,0
-572,-5984,-517,11028,52,11852,0,0,0,5132,-6413,-330,11680,-296,11700,0,0,0,0,0,0,0,0,0,0,0,0
-619,-5164,-626,11816,188,11268,0,0,0,4994,-5476,-445,12420,-192,11292,0,0,0,0,0,0,0,0,0,0,0,0
-945,-6475,-865,12052,72,10964,0,0,0,4652,-6850,-678,12568,-228,10880,0,0,0,0,0,0,0,0,0,0,0,0
-1529,-6711,-1261,12764,104,9852,0,0,0,4031,-6962,-1039,13320,-184,9732,0,0,0,0,0,0,0,0,0,0,0,0
-1246,-7447,-866,13412,252,9568,0,0,0,4362,-7774,-668,14040,-172,9056,0,0,0,0,0,0,0,0,0,0,0,0
-1578,-6998,-988,14164,100,8568,0,0,0,3950,-7274,-799,14564,-252,8232,0,0,0,0,0,0,0,0,0,0,0,0
-365,-6747,-217,14536,-16,7852,0,0,0,5315,-7107,-50,15008,-300,7484,0,0,0,0,0,0,0,0,0,0,0,0
-452,-5930,-290,15080,92,6368,0,0,0,5166,-6190,-82,15500,-284,6000,0,0,0,0,0,0,0,0,0,0,0,0
-450,-4326,-302,15312,72,5984,0,0,0,5200,-4632,-62,15764,-184,5812,0,0,0,0,0,0,0,0,0,0,0,0
-558,-5435,-267,15576,12,5320,0,0,0,5098,-5684,-63,15984,-324,4872,0,0,0,0,0,0,0,0,0,0,0,0
-459,-3995,-250,15804,56,4584,0,0,0,5239,-4270,-31,16104,-312,4312,0,0,0,0,0,0,0,0,0,0,0,0
